x,y,z,id,celltype,,,apical>apical
2378.894519,-781.97507,0,ipc 1,4,,,
2275.268517,-767.82707,0,ipc 1,4,,,
2249.240516,-878.25707,0,ipc 1,4,,,
2459.030521,-757.94507,0,rgc,2,,,
2351.138518,-936.19907,0,ipc 1,4,,,
2246.972516,-958.01507,0,ipc proto,3,,,
2290.334517,-832.41107,0,ipc 1,4,,,
2267.114516,-862.92107,0,ipc proto,3,,,
2283.854517,-900.55907,0,ipc proto,3,,,
2289.956517,-778.73507,0,ipc 1,4,,,
2269.760516,-790.93907,0,ipc 1,4,,,
2347.898518,-878.41907,0,ipc 1,4,,,
2359.238519,-959.47307,0,rgc,2,,,
2250.914516,-773.55107,0,ipc 1,4,,,
2422.41852,-831.54707,0,ipc 1,4,,,
2374.844519,-814.91507,0,ipc 1,4,,,
2371.204853,-1043.4798,0,apical,0,,,
2345.068853,-1041.3738,0,ipc proto,3,,,
2392.102854,-1005.1398,0,ipc proto,3,,,
2439.946855,-944.49779,0,ipc proto,3,,,
2329.084852,-998.82179,0,ipc 1,4,,,
2253.86285,-1078.7418,0,ipc proto,3,,,
2328.814852,-1009.0818,0,ipc proto,3,,,
2345.284853,-1098.4518,0,ipc proto,3,,,
2433.088855,-1107.7938,0,rgc,2,,,
2399.878854,-1142.7858,0,rgc,2,,,
2258.07485,-1124.1558,0,ipc proto,3,,,
2375.632853,-1075.6638,0,ipc proto,3,,,
2364.508853,-1091.0538,0,ipc proto,3,,,
2399.338854,-1034.2458,0,ipc proto,3,,,
2389.888854,-948.27779,0,ipc proto,3,,,
2272.978851,-1104.1218,0,apical,0,,,
2329.030852,-1053.3078,0,ipc proto,3,,,
2427.364855,-1153.1538,0,rgc,2,,,
2277.136851,-1076.7438,0,ipc proto,3,,,
2380.438853,-1110.8178,0,rgc,2,,,
2262.39485,-991.90979,0,rgc,2,,,
2287.828851,-1004.2758,0,ipc proto,3,,,
2307.430852,-1075.1238,0,ipc proto,3,,,
2314.396852,-1061.7318,0,ipc 1,4,,,
2268.064851,-1037.6478,0,rgc,2,,,
2279.512851,-1133.6058,0,ipc proto,3,,,
2295.064851,-1073.1798,0,ipc proto,3,,,
2445.724855,-953.73179,0,ipc proto,3,,,
2341.612852,-1125.8838,0,rgc,2,,,
2387.458854,-1143.5958,0,rgc,2,,,
2372.500853,-967.71779,0,rgc,2,,,
2390.698854,-1013.9418,0,ipc proto,3,,,
2290.798851,-1039.8618,0,ipc proto,3,,,
2385.676854,-961.23779,0,ipc proto,3,,,
2245.54685,-944.06579,0,ipc 1,4,,,
2371.474853,-1052.4438,0,ipc proto,3,,,
2254.88885,-1147.5918,0,ipc proto,3,,,
2383.408854,-1088.8398,0,ipc proto,3,,,
2267.362851,-1160.1198,0,ipc proto,3,,,
2443.510855,-991.04579,0,ipc proto,3,,,
2355.760853,-1098.9918,0,ipc proto,3,,,
2413.000854,-1125.9378,0,rgc,2,,,
2320.444852,-1049.8518,0,ipc proto,3,,,
2321.038852,-1030.4118,0,rgc,2,,,
2402.686854,-1017.8838,0,ipc proto,3,,,
2396.638854,-970.03979,0,ipc proto,3,,,
2353.762853,-1037.9178,0,rgc,2,,,
2295.334851,-1060.3278,0,rgc,2,,,
2402.524854,-1126.1538,0,rgc,2,,,
2343.070852,-1106.6058,0,rgc,2,,,
2344.744853,-986.29379,0,ipc proto,3,,,
2272.330851,-1000.5498,0,ipc proto,3,,,
2347.498853,-1130.7438,0,rgc,2,,,
2370.394853,-1080.9558,0,ipc proto,3,,,
2306.404852,-991.96379,0,ipc proto,3,,,
2268.604851,-1117.0818,0,ipc proto,3,,,
2297.602851,-1041.4278,0,ipc proto,3,,,
2414.566854,-1071.3438,0,rgc,2,,,
2300.086851,-1141.0038,0,ipc proto,3,,,
2273.896851,-956.43179,0,ipc 1,4,,,
2295.712851,-980.19179,0,rgc,2,,,
2265.31085,-1070.7498,0,ipc proto,3,,,
2300.950851,-1017.5058,0,ipc proto,3,,,
2326.573725,-1173.6219,0,rgc,2,,,
2231.479723,-1173.8919,0,ipc proto,3,,,
2251.243723,-1169.6799,0,ipc 1,4,,,
2379.385727,-1255.7019,0,rgc,2,,,
2325.871725,-1150.2399,0,ipc proto,3,,,
2375.713727,-1228.4859,0,rgc,2,,,
2400.175727,-1317.4239,0,pial,1,,,
2370.799726,-1344.3159,0,rgc,2,,,
2363.995726,-1323.6339,0,rgc,2,,,
2317.879725,-1244.2539,0,rgc,2,,,
2356.759726,-1143.9219,0,rgc,2,,,
2297.521725,-1289.9379,0,rgc,2,,,
2302.489725,-1236.7479,0,rgc,2,,,
2276.947724,-1205.4279,0,ipc proto,3,,,
2237.473723,-1191.7659,0,ipc proto,3,,,
2267.821724,-1339.7259,0,rgc,2,,,
2409.949727,-1191.3879,0,rgc,2,,,
2311.885725,-1210.2339,0,rgc,2,,,
2281.915724,-1318.9359,0,rgc,2,,,
2331.325725,-1224.2199,0,ipc proto,3,,,
2396.719727,-1278.2739,0,rgc,2,,,
2354.653726,-1150.1859,0,ipc proto,3,,,
2303.947725,-1276.3299,0,rgc,2,,,
2355.895726,-1216.6599,0,rgc,2,,,
2289.853724,-1173.2979,0,ipc proto,3,,,
2390.941727,-1208.2899,0,rgc,2,,,
2358.163726,-1198.2459,0,rgc,2,,,
2299.681725,-1212.2859,0,ipc proto,3,,,
2416.483728,-1273.1979,0,rgc,2,,,
2252.269723,-1291.4499,0,ipc proto,3,,,
2433.223728,-1303.1139,0,rgc,2,,,
2305.189725,-1256.2959,0,ipc proto,3,,,
2358.109726,-1248.5199,0,rgc,2,,,
2275.597724,-1250.4639,0,ipc proto,3,,,
2260.855724,-1238.7999,0,ipc proto,3,,,
2293.849724,-1277.8959,0,rgc,2,,,
2441.593728,-1351.8219,0,rgc,2,,,
2324.143725,-1336.2159,0,pial,1,,,
2277.055724,-1223.4099,0,rgc,2,,,
2291.635724,-1215.4179,0,rgc,2,,,
2300.653725,-1333.4619,0,ipc proto,3,,,
2418.535728,-1267.7979,0,rgc,2,,,
2352.061726,-1343.1279,0,apical,0,,,
2256.211723,-1246.8999,0,rgc,2,,,
2440.081728,-1255.0539,0,ipc proto,3,,,
2350.279726,-1202.5119,0,rgc,2,,,
2236.231723,-1294.3119,0,ipc proto,3,,,
2436.679728,-1223.3559,0,rgc,2,,,
2298.115725,-1189.6059,0,rgc,2,,,
2301.778176,-1490.8191,0,pial,1,,,
2221.588174,-1394.0511,0,rgc,2,,,
2387.530178,-1392.5931,0,apical,0,,,
2282.716176,-1382.7651,0,apical,0,,,
2400.652179,-1554.6471,0,rgc,2,,,
2418.526179,-1401.0711,0,rgc,2,,,
2365.822178,-1486.7691,0,rgc,2,,,
2348.434177,-1499.2971,0,pial,1,,,
2409.076179,-1563.1791,0,rgc,2,,,
2331.910177,-1534.4511,0,rgc,2,,,
2242.270175,-1437.6831,0,rgc,2,,,
2320.030177,-1507.3431,0,rgc,2,,,
2271.646175,-1411.0611,0,rgc,2,,,
2332.990177,-1481.2611,0,rgc,2,,,
2350.000177,-1552.5951,0,rgc,2,,,
2366.200178,-1526.4051,0,rgc,2,,,
2371.762178,-1455.8811,0,rgc,2,,,
2379.808178,-1537.2591,0,rgc,2,,,
2413.018179,-1346.1531,0,rgc,2,,,
2406.916179,-1506.3171,0,rgc,2,,,
2259.982175,-1428.7731,0,rgc,2,,,
2289.736176,-1402.3131,0,apical,0,,,
2315.926176,-1420.7811,0,rgc,2,,,
2407.618179,-1452.4251,0,rgc,2,,,
2379.106178,-1440.2211,0,pial,1,,,
2373.868178,-1558.2111,0,rgc,2,,,
2244.214175,-1386.0591,0,rgc,2,,,
2253.070175,-1355.6031,0,rgc,2,,,
2301.238176,-1548.5991,0,rgc,2,,,
2301.778176,-1465.5471,0,rgc,2,,,
2335.096177,-1415.3271,0,rgc,2,,,
2286.442176,-1441.5711,0,rgc,2,,,
2380.942178,-1510.5291,0,rgc,2,,,
2311.552176,-1479.6951,0,rgc,2,,,
2411.830179,-1440.3831,0,pial,1,,,
2356.804177,-1512.2571,0,rgc,2,,,
2357.344178,-1430.5011,0,rgc,2,,,
2396.602179,-1366.5111,0,pial,1,,,
2380.618178,-1376.3931,0,rgc,2,,,
2353.672177,-1490.7651,0,rgc,2,,,
2429.920179,-1346.5851,0,rgc,2,,,
2410.534179,-1414.1931,0,rgc,2,,,
2313.010176,-1380.2271,0,ipc proto,3,,,
2344.924177,-1477.2111,0,rgc,2,,,
2343.466177,-1505.6691,0,rgc,2,,,
2427.112179,-1448.1051,0,pial,1,,,
2315.818176,-1457.2851,0,pial,1,,,
2363.338178,-1370.6691,0,pial,1,,,
2389.906178,-1536.3411,0,rgc,2,,,
2328.616177,-1439.0871,0,rgc,2,,,
2268.892175,-1458.4191,0,ipc proto,3,,,
2345.194177,-1401.1791,0,rgc,2,,,
2402.380179,-1481.4231,0,rgc,2,,,
2282.176176,-1498.9191,0,rgc,2,,,
2434.18618,-1510.6911,0,rgc,2,,,
2271.376175,-1476.9951,0,pial,1,,,
2373.382178,-1415.5431,0,rgc,2,,,
2332.234177,-1399.6671,0,apical,0,,,
2395.738179,-1498.7571,0,rgc,2,,,
2350.648177,-1392.2691,0,rgc,2,,,
2431.216179,-1538.9871,0,rgc,2,,,
2300.860176,-1400.8011,0,rgc,2,,,
2354.104177,-1458.2571,0,rgc,2,,,
2391.040178,-1487.1471,0,rgc,2,,,
2357.979166,-1591.3724,0,rgc,2,,,
2408.091167,-1611.6764,0,rgc,2,,,
2397.885167,-1610.9204,0,rgc,2,,,
2415.813168,-1652.9324,0,rgc,2,,,
2426.127168,-1675.1264,0,rgc,2,,,
2358.573166,-1575.6584,0,rgc,2,,,
2415.489168,-1644.2384,0,rgc,2,,,
2390.001167,-1583.1644,0,rgc,2,,,
2367.429166,-1590.4544,0,rgc,2,,,
2381.415167,-1612.9724,0,rgc,2,,,
2388.057167,-1562.3204,0,rgc,2,,,
2391.081167,-1566.8564,0,rgc,2,,,
2382.819167,-1570.3664,0,rgc,2,,,
2559.677791,-1781.0431,0,apical,0,,,
2565.887791,-1771.8091,0,apical,0,,,
2505.62162,-1657.854,0,apical,0,,,
2611.083622,-1722.33,0,apical,0,,,
2553.735621,-1683.558,0,apical,0,,,
2570.691621,-1719.414,0,apical,0,,,
2521.87562,-1558.008,0,rgc,2,,,
2501.30162,-1632.69,0,rgc,2,,,
2486.721619,-1599.912,0,rgc,2,,,
2601.795622,-1580.634,0,apical,0,,,
2471.493619,-1708.02,0,rgc,2,,,
2605.359622,-1737.072,0,apical,0,,,
2520.30962,-1644.678,0,rgc,2,,,
2584.191622,-1585.602,0,rgc,2,,,
2526.57362,-1600.614,0,rgc,2,,,
2565.399621,-1629.126,0,apical,0,,,
2611.407622,-1652.238,0,apical,0,,,
2517.12362,-1600.722,0,rgc,2,,,
2580.303622,-1701.432,0,apical,0,,,
2600.283622,-1719.792,0,apical,0,,,
2470.197619,-1649.376,0,rgc,2,,,
2561.241621,-1698.786,0,apical,0,,,
2586.729622,-1690.524,0,apical,0,,,
2462.691619,-1637.01,0,rgc,2,,,
2449.515618,-1597.86,0,rgc,2,,,
2447.409618,-1645.65,0,rgc,2,,,
2450.649618,-1670.058,0,rgc,2,,,
2550.225621,-1619.406,0,apical,0,,,
2534.18762,-1669.68,0,apical,0,,,
2526.14162,-1622.808,0,apical,0,,,
2514.31562,-1683.18,0,rgc,2,,,
2487.639619,-1697.166,0,rgc,2,,,
2552.709621,-1597.806,0,rgc,2,,,
2569.395621,-1595.43,0,rgc,2,,,
2537.103621,-1719.846,0,apical,0,,,
2595.909622,-1606.23,0,apical,0,,,
2414.577617,-1561.14,0,rgc,2,,,
2551.575621,-1701.594,0,apical,0,,,
2481.645619,-1652.076,0,apical,0,,,
2454.591618,-1605.204,0,apical,0,,,
2478.837619,-1642.302,0,rgc,2,,,
2508.91562,-1716.228,0,apical,0,,,
2448.921618,-1588.248,0,rgc,2,,,
2415.819617,-1618.056,0,rgc,2,,,
2475.435619,-1662.336,0,rgc,2,,,
2591.211622,-1681.992,0,apical,0,,,
2411.013617,-1626.318,0,apical,0,,,
2570.691621,-1651.32,0,apical,0,,,
2579.331622,-1557.252,0,rgc,2,,,
2526.62762,-1611.252,0,rgc,2,,,
2554.221621,-1584.522,0,rgc,2,,,
2501.08562,-1586.682,0,rgc,2,,,
2556.003621,-1655.802,0,apical,0,,,
2440.659618,-1590.138,0,rgc,2,,,
2448.867618,-1568.106,0,rgc,2,,,
2569.233621,-1682.694,0,apical,0,,,
2486.451619,-1611.63,0,rgc,2,,,
2573.630399,-1354.8028,0,rgc,2,,,
2519.468397,-1476.6808,0,rgc,2,,,
2583.512399,-1457.1328,0,rgc,2,,,
2445.272395,-1417.6588,0,rgc,2,,,
2598.524399,-1527.4408,0,rgc,2,,,
2536.856398,-1445.1448,0,apical,0,,,
2518.928397,-1507.7308,0,rgc,2,,,
2604.302399,-1567.5088,0,rgc,2,,,
2428.802395,-1389.7948,0,pial,1,,,
2599.280399,-1518.5308,0,rgc,2,,,
2543.282398,-1535.2168,0,rgc,2,,,
2513.366397,-1436.1808,0,rgc,2,,,
2532.860398,-1388.8228,0,rgc,2,,,
2578.652399,-1530.2488,0,apical,0,,,
2496.032397,-1447.1968,0,rgc,2,,,
2609.1624,-1509.6748,0,apical,0,,,
2591.828399,-1555.4668,0,rgc,2,,,
